New Jersey Divison of Fish, Game and Wildlife, NJ,7
McKeesport Police Department, PA,7
Hamilton Police Department, OH,7
North Platte Police Department, NE,7
Binghamton Police Department, NY,7
Virginia Department of Prohibition Enforcement, VA,7
Kentucky Department of Fish and Wildlife Resources, KY,7
St. Louis County Sheriff's Office, MO,7
Tempe Police Department, AZ,7
Hartford Police Department, CT,7
Sonoma County Sheriff's Office, CA,7
Franklin County Sheriff's Office, OH,7
Fairmount Park Police Department, PA,7
Rhode Island State Police, RI,7
Hollywood Police Department, FL,7
Wichita Falls Police Department, TX,7
Louisiana Department of Wildlife and Fisheries, LA,7
Miami Beach Police Department, FL,7
Abilene Police Department, TX,7
Hammond Police Department, IN,7
Bernalillo County Sheriff's Department, NM,7
Floyd County Constable's Office, KY,7
Lee County Sheriff's Office, VA,7
Arlington County Police Department, VA,7
Clarksville Police Department, TN,7
Hattiesburg Police Department, MS,7
Richland County Sheriff's Department, SC,7
California Department of Justice, CA,7
 III",7
New York State Office of Court Administration, NY,7
New York City Police Department - Auxiliary Police Section, NY,7
Los Angeles County Constable's Office, CA,6
Winnebago County Sheriff's Office, IL,6
Nueces County Sheriff's Office, TX,6
Mendocino County Sheriff's Office, CA,6
Yuma County Sheriff's Department, AZ,6
Jackson County Sheriff's Office, MO,6
Hagerstown Police Department, MD,6
Bryan Police Department, TX,6
Chelsea Police Department, MA,6
Greene County Sheriff's Department, MO,6
Caddo Parish Sheriff's Office, LA,6
McLennan County Sheriff's Department, TX,6
Hunt County Sheriff's Office, TX,6
Limestone County Sheriff's Department, TX,6
Madison County Sheriff's Office, TN,6
Taney County Sheriff's Office, MO,6
Apache County Sheriff's Office, AZ,6
Yavapai County Sheriff's Office, AZ,6
Newport Police Department, KY,6
Cedar Rapids Police Department, IA,6
Shasta County Sheriff's Department, CA,6
Graham County Sheriff's Office, AZ,6
Bradford County Sheriff's Office, FL,6
Pineville Police Department, KY,6
Johnstown Police Department, PA,6
Gila County Sheriff's Office, AZ,6
Orange Police Department, TX,6
Knott County Sheriff's Department, KY,6
Vigo County Sheriff's Office, IN,6
Monroe Police Department, LA,6
Clay County Sheriff's Office, FL,6
San Joaquin County Sheriff's Office, CA,6
Vallejo Police Department, CA,6
Washita County Sheriff's Office, OK,6
Harford County Sheriff's Office, MD,6
St. Clair County Sheriff's Department, IL,6
Aiken County Sheriff's Office, SC,6
Illinois Central Railroad Police Department, RR,6
Bartlesville Police Department, OK,6
New Castle Police Department, PA,6
Mecklenburg County Police Department, NC,6
Chesapeake and Ohio Railroad Police Department, RR,6
Mobile County Sheriff's Office, AL,6
Council Bluffs Police Department, IA,6
Las Vegas Police Department, NV,6
Steubenville Police Department, OH,6
Greene County Sheriff's Department, TN,6
Rapides Parish Sheriff's Office, LA,6
Utica Police Department, NY,6
Bridgeport Police Department, CT,6
Ashland Police Department, KY,6
Troy Police Department, NY,6
Murfreesboro Police Department, TN,6
Muskogee County Sheriff's Office, OK,6
Atascosa County Sheriff's Department, TX,6
Nebraska Department of Correctional Services, NE,6
Grays Harbor County Sheriff's Office, WA,6
DeSoto County Sheriff's Department, MS,6
East Point Police Department, GA,6
Seminole County Sheriff's Office, OK,6
Dothan Police Department, AL,6
San Fernando Police Department, CA,6
Fayette County Sheriff's Department, TN,6
Pomona Police Department, CA,6
Altoona Police Department, PA,6
Oak Park Police Department, IL,6
Lincoln Police Department, NE,6
Rockford Police Department, IL,6
Charles County Sheriff's Office, MD,6
Johnson County Sheriff's Office, KY,6
Albany Police Department, GA,6
Imperial County Sheriff's Office, CA,6
Berwyn Police Department, IL,6
Battle Creek City Police Department, MI,6
Seminole County Sheriff's Office, FL,6
Forsyth County Sheriff's Office, NC,6
Scott County Sheriff's Department, TN,6
West Virginia Division of Corrections, WV,6
